Año,Trimestre,Provincia,Accesos por cada 100 hab
2024,1,buenos aires,27.8
2024,1,capital federal,48.78
2024,1,catamarca,17.5
2024,1,chaco,12.48
2024,1,chubut,26.02
2024,1,córdoba,27.77
2024,1,corrientes,13.68
2024,1,entre ríos,20.72
2024,1,formosa,10.08
2024,1,jujuy,14.74
2024,1,la pampa,33.11
2024,1,la rioja,21.3
2024,1,mendoza,14.67
2024,1,misiones,15.46
2024,1,neuquén,23.66
2024,1,río negro,21.88
2024,1,salta,13.63
2024,1,san juan,13.15
2024,1,san luis,29.39
2024,1,santa cruz,20.1
2024,1,santa fe,25.28
2024,1,santiago del estero,12.26
2024,1,tierra del fuego,32.54
2024,1,tucumán,14.98
2023,4,buenos aires,27.68
2023,4,capital federal,47.8
2023,4,catamarca,17.46
2023,4,chaco,11.85
2023,4,chubut,26.04
2023,4,córdoba,27.76
2023,4,corrientes,13.84
2023,4,entre ríos,20.91
2023,4,formosa,9.98
2023,4,jujuy,14.77
2023,4,la pampa,32.93
2023,4,la rioja,21.35
2023,4,mendoza,14.55
2023,4,misiones,15.33
2023,4,neuquén,23.78
2023,4,río negro,21.61
2023,4,salta,13.8
2023,4,san juan,12.75
2023,4,san luis,29.21
2023,4,santa cruz,21.94
2023,4,santa fe,25.08
2023,4,santiago del estero,12.18
2023,4,tierra del fuego,32.75
2023,4,tucumán,15.12
2023,3,buenos aires,27.5
2023,3,capital federal,47.6
2023,3,catamarca,17.44
2023,3,chaco,11.46
2023,3,chubut,25.82
2023,3,córdoba,27.57
2023,3,corrientes,13.9
2023,3,entre ríos,20.58
2023,3,formosa,9.89
2023,3,jujuy,14.73
2023,3,la pampa,32.62
2023,3,la rioja,21.41
2023,3,mendoza,14.52
2023,3,misiones,15.12
2023,3,neuquén,23.8
2023,3,río negro,21.04
2023,3,salta,13.94
2023,3,san juan,12.85
2023,3,san luis,28.2
2023,3,santa cruz,12.17
2023,3,santa fe,24.87
2023,3,santiago del estero,12.08
2023,3,tierra del fuego,31.41
2023,3,tucumán,15.17
2023,2,buenos aires,27.1
2023,2,capital federal,47.27
2023,2,catamarca,17.15
2023,2,chaco,11.46
2023,2,chubut,25.28
2023,2,córdoba,27.59
2023,2,corrientes,13.79
2023,2,entre ríos,19.26
2023,2,formosa,9.75
2023,2,jujuy,14.78
2023,2,la pampa,32.4
2023,2,la rioja,21.3
2023,2,mendoza,14.54
2023,2,misiones,15.03
2023,2,neuquén,23.5
2023,2,río negro,21.09
2023,2,salta,13.92
2023,2,san juan,12.1
2023,2,san luis,26.73
2023,2,santa cruz,12.39
2023,2,santa fe,24.79
2023,2,santiago del estero,11.7
2023,2,tierra del fuego,31.54
2023,2,tucumán,15.05
2023,1,buenos aires,26.81
2023,1,capital federal,50.23
2023,1,catamarca,16.83
2023,1,chaco,11.53
2023,1,chubut,26.32
2023,1,córdoba,27.2
2023,1,corrientes,13.71
2023,1,entre ríos,19.37
2023,1,formosa,9.87
2023,1,jujuy,14.88
2023,1,la pampa,31.81
2023,1,la rioja,21.23
